"File","OriginalBytes","WebPBytes","SavedBytes","Status"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2384.jpg","13875217","1906068","11969149","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2385.jpg","12547763","1712060","10835703","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2388.jpg","13953727","1886844","12066883","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2391.jpg","12186955","971924","11215031","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2391-2.jpg","5639859","613452","5026407","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2392.jpg","10945591","946450","9999141","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2393.jpg","13383237","1210660","12172577","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2395.jpg","11564008","1546798","10017210","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2399.jpg","13619924","1777792","11842132","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2400.jpg","12474242","1669696","10804546","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2403.jpg","10912201","1811866","9100335","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2404.jpg","11224632","1568090","9656542","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2407.jpg","11485960","1548240","9937720","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2411.jpg","13099523","1677324","11422199","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2415.jpg","11815857","1519028","10296829","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2420.jpg","13567864","2144468","11423396","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2421.jpg","14329957","2539280","11790677","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2422.jpg","9803258","982772","8820486","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2427.jpg","15454778","2278566","13176212","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2429.jpg","15407770","2299906","13107864","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2433.jpg","17073055","2340470","14732585","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2436.jpg","13168164","1762132","11406032","Converted"
